see contaminationTypes.pptx for labeled photos,,,,,,,,,,,,,,
sample,date,density,strain,type,count1,r1,count2,r2,count3,r3,v1,v2,v3,rep
6,7/20/2016,LD,A3,,,,,,,,100,,,3
6,7/20/2016,LD,A4,I,365,6,,,,,100,,,3
6,7/20/2016,LD,B2,I,263,6,,,,,100,,,3
6,7/20/2016,LD,C4,III,31,4, ,,,,100,,,3
6,7/20/2016,LD,E2,III,468,5,,,,,100,,,3
6,7/20/2016,LD,F2,I,374,4,,,,,100,,,3
6,7/20/2016,LD,F2,V,41,4,,,,,100,,,3
6,7/20/2016,LD,F3,II,18,5,,,,,100,,,3
6,7/20/2016,LD,F3,V,8,5,,,,,100,,,3
6,7/20/2016,LD,F5,I,88,6,,,,,100,,,3
6,7/20/2016,LD,F5,II,90,6,,,,,100,,,3
6,7/20/2016,LD,G3,II,48,6,,,,,100,,,3
6,7/20/2016,LD,110,II,9,6,,,,,100,,,3
7,5/19/2017,LD,A3,IV,44,5,154,4,,,100,100,,1
7,5/19/2017,LD,A3,IV,74,6,308,5,,,100,100,,2
7,5/19/2017,LD,A3,,0,2,,,,,100,,,3
7,5/19/2017,LD,110,IV,63,4,273,3,,,100,100,,1
7,5/19/2017,LD,110,IV,478,5,91,6,,,100,100,,2
7,5/19/2017,LD,110,IV,224,5,50,6,,,100,100,,3
8,6/8/2017,LD,A3,,13,5,,,,,100,100,100,1
8,6/8/2017,LD,A3,,0,5,,,,,100,100,100,2
8,6/8/2017,LD,A3,,0,5,,,,,100,100,100,3
8,6/8/2017,LD,A4,,14,5,68,5,,,100,100,100,1
8,6/8/2017,LD,A4,,39,6,196,5,,,100,100,100,2
8,6/8/2017,LD,A4,,98,6,,,,,100,100,100,3
8,6/8/2017,LD,B2,,19,5,5,6,,,100,100,100,1
8,6/8/2017,LD,B2,,,,,,,,100,100,100,2
8,6/8/2017,LD,B2,,,,,,,,100,100,100,3
8,6/8/2017,LD,E2,,26,3,7,4,,,100,100,100,1
8,6/8/2017,LD,E2,,153,2,,,,,100,100,100,2
8,6/8/2017,LD,E2,,46,3,6,4,,,100,100,100,3
8,6/8/2017,LD,F2,,0,2,,,,,100,100,100,1
8,6/8/2017,LD,F2,,567,5,,,,,100,100,100,2
8,6/8/2017,LD,F2,,292,5,,,,,100,100,100,3
8,6/8/2017,LD,F3,,173,5,,,,,100,100,100,1
8,6/8/2017,LD,F3,,23,3,,,,,100,100,100,2
8,6/8/2017,LD,F3,,456,5,,,,,100,100,100,3
8,6/8/2017,LD,F5,,57,6,,,,,100,100,100,1
8,6/8/2017,LD,F5,,28,5,97,4,,,100,100,100,2
8,6/8/2017,LD,F5,,36,6,199,5,,,100,100,100,3
8,6/8/2017,LD,G3,,36,6,180,5,,,100,100,100,1
8,6/8/2017,LD,G3,,63,6,,,,,100,100,100,2
8,6/8/2017,LD,G3,,2,4,,,,,100,100,100,3
8,6/8/2017,LD,110,,100,6,,,,,100,100,100,1
8,6/8/2017,LD,110,,75,6,,,,,100,100,100,2
8,6/8/2017,LD,110,,278,6,,,,,100,100,100,3
8,6/8/2017,HD,A3,,,,,,,,100,100,100,1
8,6/8/2017,HD,A3,,11,5,,,,,100,100,100,2
8,6/8/2017,HD,A3,,38,5,,,,,100,100,100,3
8,6/8/2017,HD,110,,78,6,,,,,100,100,100,1
8,6/8/2017,HD,110,,73,6,,,,,100,100,100,2
8,6/8/2017,HD,110,,53,6,,,,,100,100,100,3
